participant,quarter,session,variance,problem,nPositions,choicePosition,cost,value1,value2,value3,value4,value5,value6,value7
556,W2024,1,high,10,7,2,295.0,433.0,295.0,657.0,454.0,686.0,810.0,842.0
556,W2024,1,high,11,7,3,321.0,536.0,388.0,321.0,491.0,926.0,577.0,328.0
556,W2024,1,high,12,7,2,266.0,477.0,266.0,682.0,469.0,445.0,1.0,237.0
556,W2024,1,high,13,7,5,310.0,518.0,702.0,674.0,422.0,310.0,424.0,520.0
556,W2024,1,high,14,7,5,186.0,518.0,419.0,999.0,631.0,186.0,346.0,283.0
556,W2024,1,high,15,7,1,231.0,231.0,464.0,833.0,416.0,496.0,560.0,535.0
556,W2024,1,high,16,7,7,372.0,689.0,413.0,546.0,498.0,457.0,543.0,372.0
556,W2024,1,high,17,7,4,432.0,575.0,448.0,613.0,432.0,340.0,749.0,685.0
556,W2024,1,high,18,7,3,353.0,489.0,691.0,353.0,166.0,528.0,706.0,138.0
556,W2024,1,high,19,7,4,294.0,372.0,968.0,841.0,294.0,393.0,694.0,148.0
556,W2024,1,high,20,7,4,408.0,766.0,557.0,427.0,408.0,551.0,283.0,381.0
157,W2024,1,high,1,7,4,120.0,298.0,538.0,589.0,120.0,487.0,360.0,196.0
157,W2024,1,high,2,7,7,185.0,471.0,674.0,586.0,652.0,673.0,728.0,185.0
157,W2024,1,high,3,7,3,184.0,746.0,677.0,184.0,821.0,735.0,299.0,543.0
157,W2024,1,high,4,7,1,90.0,90.0,490.0,619.0,999.0,574.0,858.0,433.0
157,W2024,1,high,5,7,3,381.0,645.0,719.0,381.0,315.0,737.0,282.0,509.0
157,W2024,1,high,6,7,1,541.0,541.0,637.0,382.0,506.0,427.0,329.0,697.0
157,W2024,1,high,7,7,2,138.0,456.0,138.0,551.0,419.0,324.0,695.0,801.0
157,W2024,1,high,8,7,7,386.0,677.0,726.0,448.0,468.0,810.0,439.0,386.0
157,W2024,1,high,9,7,3,330.0,636.0,515.0,330.0,497.0,559.0,669.0,173.0
157,W2024,1,high,10,7,1,433.0,433.0,295.0,657.0,454.0,686.0,810.0,842.0
157,W2024,1,high,11,7,1,536.0,536.0,388.0,321.0,491.0,926.0,577.0,328.0
157,W2024,1,high,12,7,2,266.0,477.0,266.0,682.0,469.0,445.0,1.0,237.0
157,W2024,1,high,13,7,1,518.0,518.0,702.0,674.0,422.0,310.0,424.0,520.0
157,W2024,1,high,14,7,5,186.0,518.0,419.0,999.0,631.0,186.0,346.0,283.0
157,W2024,1,high,15,7,1,231.0,231.0,464.0,833.0,416.0,496.0,560.0,535.0
157,W2024,1,high,16,7,7,372.0,689.0,413.0,546.0,498.0,457.0,543.0,372.0
157,W2024,1,high,17,7,5,340.0,575.0,448.0,613.0,432.0,340.0,749.0,685.0
157,W2024,1,high,18,7,3,353.0,489.0,691.0,353.0,166.0,528.0,706.0,138.0
157,W2024,1,high,19,7,4,294.0,372.0,968.0,841.0,294.0,393.0,694.0,148.0
157,W2024,1,high,20,7,6,283.0,766.0,557.0,427.0,408.0,551.0,283.0,381.0
376,W2024,2,high,1,7,1,298.0,298.0,538.0,589.0,120.0,487.0,360.0,196.0
376,W2024,2,high,2,7,7,185.0,471.0,674.0,586.0,652.0,673.0,728.0,185.0
376,W2024,2,high,3,7,3,184.0,746.0,677.0,184.0,821.0,735.0,299.0,543.0
376,W2024,2,high,4,7,1,90.0,90.0,490.0,619.0,999.0,574.0,858.0,433.0
376,W2024,2,high,5,7,4,315.0,645.0,719.0,381.0,315.0,737.0,282.0,509.0
376,W2024,2,high,6,7,3,382.0,541.0,637.0,382.0,506.0,427.0,329.0,697.0
376,W2024,2,high,7,7,2,138.0,456.0,138.0,551.0,419.0,324.0,695.0,801.0
376,W2024,2,high,8,7,7,386.0,677.0,726.0,448.0,468.0,810.0,439.0,386.0
376,W2024,2,high,9,7,3,330.0,636.0,515.0,330.0,497.0,559.0,669.0,173.0
376,W2024,2,high,10,7,2,295.0,433.0,295.0,657.0,454.0,686.0,810.0,842.0
376,W2024,2,high,11,7,3,321.0,536.0,388.0,321.0,491.0,926.0,577.0,328.0
376,W2024,2,high,12,7,2,266.0,477.0,266.0,682.0,469.0,445.0,1.0,237.0
376,W2024,2,high,13,7,5,310.0,518.0,702.0,674.0,422.0,310.0,424.0,520.0
376,W2024,2,high,14,7,5,186.0,518.0,419.0,999.0,631.0,186.0,346.0,283.0
376,W2024,2,high,15,7,1,231.0,231.0,464.0,833.0,416.0,496.0,560.0,535.0
376,W2024,2,high,16,7,7,372.0,689.0,413.0,546.0,498.0,457.0,543.0,372.0
376,W2024,2,high,17,7,7,685.0,575.0,448.0,613.0,432.0,340.0,749.0,685.0
376,W2024,2,high,18,7,4,166.0,489.0,691.0,353.0,166.0,528.0,706.0,138.0
376,W2024,2,high,19,7,4,294.0,372.0,968.0,841.0,294.0,393.0,694.0,148.0
376,W2024,2,high,20,7,6,283.0,766.0,557.0,427.0,408.0,551.0,283.0,381.0
121,W2024,1,high,1,7,4,120.0,298.0,538.0,589.0,120.0,487.0,360.0,196.0
121,W2024,1,high,2,7,7,185.0,471.0,674.0,586.0,652.0,673.0,728.0,185.0
121,W2024,1,high,3,7,3,184.0,746.0,677.0,184.0,821.0,735.0,299.0,543.0
121,W2024,1,high,4,7,1,90.0,90.0,490.0,619.0,999.0,574.0,858.0,433.0
121,W2024,1,high,5,7,4,315.0,645.0,719.0,381.0,315.0,737.0,282.0,509.0
121,W2024,1,high,6,7,6,329.0,541.0,637.0,382.0,506.0,427.0,329.0,697.0
121,W2024,1,high,7,7,2,138.0,456.0,138.0,551.0,419.0,324.0,695.0,801.0
121,W2024,1,high,8,7,6,439.0,677.0,726.0,448.0,468.0,810.0,439.0,386.0
121,W2024,1,high,9,7,7,173.0,636.0,515.0,330.0,497.0,559.0,669.0,173.0
121,W2024,1,high,10,7,7,842.0,433.0,295.0,657.0,454.0,686.0,810.0,842.0
121,W2024,1,high,11,7,7,328.0,536.0,388.0,321.0,491.0,926.0,577.0,328.0
121,W2024,1,high,12,7,2,266.0,477.0,266.0,682.0,469.0,445.0,1.0,237.0
121,W2024,1,high,13,7,5,310.0,518.0,702.0,674.0,422.0,310.0,424.0,520.0
121,W2024,1,high,14,7,5,186.0,518.0,419.0,999.0,631.0,186.0,346.0,283.0
121,W2024,1,high,15,7,7,535.0,231.0,464.0,833.0,416.0,496.0,560.0,535.0
121,W2024,1,high,16,7,7,372.0,689.0,413.0,546.0,498.0,457.0,543.0,372.0
121,W2024,1,high,17,7,7,685.0,575.0,448.0,613.0,432.0,340.0,749.0,685.0
121,W2024,1,high,18,7,4,166.0,489.0,691.0,353.0,166.0,528.0,706.0,138.0
121,W2024,1,high,19,7,4,294.0,372.0,968.0,841.0,294.0,393.0,694.0,148.0
121,W2024,1,high,20,7,6,283.0,766.0,557.0,427.0,408.0,551.0,283.0,381.0
487,W2024,1,high,1,7,4,120.0,298.0,538.0,589.0,120.0,487.0,360.0,196.0
487,W2024,1,high,2,7,7,185.0,471.0,674.0,586.0,652.0,673.0,728.0,185.0
487,W2024,1,high,3,7,3,184.0,746.0,677.0,184.0,821.0,735.0,299.0,543.0
487,W2024,1,high,4,7,1,90.0,90.0,490.0,619.0,999.0,574.0,858.0,433.0
487,W2024,1,high,5,7,4,315.0,645.0,719.0,381.0,315.0,737.0,282.0,509.0
487,W2024,1,high,6,7,7,697.0,541.0,637.0,382.0,506.0,427.0,329.0,697.0
487,W2024,1,high,7,7,2,138.0,456.0,138.0,551.0,419.0,324.0,695.0,801.0
487,W2024,1,high,8,7,6,439.0,677.0,726.0,448.0,468.0,810.0,439.0,386.0
487,W2024,1,high,9,7,7,173.0,636.0,515.0,330.0,497.0,559.0,669.0,173.0
487,W2024,1,high,10,7,7,842.0,433.0,295.0,657.0,454.0,686.0,810.0,842.0
487,W2024,1,high,11,7,7,328.0,536.0,388.0,321.0,491.0,926.0,577.0,328.0
487,W2024,1,high,12,7,6,1.0,477.0,266.0,682.0,469.0,445.0,1.0,237.0
487,W2024,1,high,13,7,1,518.0,518.0,702.0,674.0,422.0,310.0,424.0,520.0
487,W2024,1,high,14,7,5,186.0,518.0,419.0,999.0,631.0,186.0,346.0,283.0
487,W2024,1,high,15,7,1,231.0,231.0,464.0,833.0,416.0,496.0,560.0,535.0
487,W2024,1,high,16,7,7,372.0,689.0,413.0,546.0,498.0,457.0,543.0,372.0
487,W2024,1,high,17,7,7,685.0,575.0,448.0,613.0,432.0,340.0,749.0,685.0
487,W2024,1,high,18,7,4,166.0,489.0,691.0,353.0,166.0,528.0,706.0,138.0
487,W2024,1,high,19,7,4,294.0,372.0,968.0,841.0,294.0,393.0,694.0,148.0
487,W2024,1,high,20,7,6,283.0,766.0,557.0,427.0,408.0,551.0,283.0,381.0
358,W2024,1,high,1,7,4,120.0,298.0,538.0,589.0,120.0,487.0,360.0,196.0
358,W2024,1,high,2,7,7,185.0,471.0,674.0,586.0,652.0,673.0,728.0,185.0
358,W2024,1,high,3,7,3,184.0,746.0,677.0,184.0,821.0,735.0,299.0,543.0
358,W2024,1,high,4,7,1,90.0,90.0,490.0,619.0,999.0,574.0,858.0,433.0
358,W2024,1,high,5,7,4,315.0,645.0,719.0,381.0,315.0,737.0,282.0,509.0
358,W2024,1,high,6,7,3,382.0,541.0,637.0,382.0,506.0,427.0,329.0,697.0
358,W2024,1,high,7,7,7,801.0,456.0,138.0,551.0,419.0,324.0,695.0,801.0
358,W2024,1,high,8,7,7,386.0,677.0,726.0,448.0,468.0,810.0,439.0,386.0
358,W2024,1,high,9,7,7,173.0,636.0,515.0,330.0,497.0,559.0,669.0,173.0
358,W2024,1,high,10,7,7,842.0,433.0,295.0,657.0,454.0,686.0,810.0,842.0
358,W2024,1,high,11,7,7,328.0,536.0,388.0,321.0,491.0,926.0,577.0,328.0
358,W2024,1,high,12,7,6,1.0,477.0,266.0,682.0,469.0,445.0,1.0,237.0
358,W2024,1,high,13,7,7,520.0,518.0,702.0,674.0,422.0,310.0,424.0,520.0
358,W2024,1,high,14,7,5,186.0,518.0,419.0,999.0,631.0,186.0,346.0,283.0
358,W2024,1,high,15,7,1,231.0,231.0,464.0,833.0,416.0,496.0,560.0,535.0
358,W2024,1,high,16,7,7,372.0,689.0,413.0,546.0,498.0,457.0,543.0,372.0
358,W2024,1,high,17,7,7,685.0,575.0,448.0,613.0,432.0,340.0,749.0,685.0
358,W2024,1,high,18,7,3,353.0,489.0,691.0,353.0,166.0,528.0,706.0,138.0
358,W2024,1,high,19,7,4,294.0,372.0,968.0,841.0,294.0,393.0,694.0,148.0
358,W2024,1,high,20,7,6,283.0,766.0,557.0,427.0,408.0,551.0,283.0,381.0
86,W2024,1,high,1,7,4,120.0,298.0,538.0,589.0,120.0,487.0,360.0,196.0
86,W2024,1,high,2,7,7,185.0,471.0,674.0,586.0,652.0,673.0,728.0,185.0
86,W2024,1,high,3,7,3,184.0,746.0,677.0,184.0,821.0,735.0,299.0,543.0
86,W2024,1,high,4,7,1,90.0,90.0,490.0,619.0,999.0,574.0,858.0,433.0
86,W2024,1,high,5,7,3,381.0,645.0,719.0,381.0,315.0,737.0,282.0,509.0
86,W2024,1,high,6,7,6,329.0,541.0,637.0,382.0,506.0,427.0,329.0,697.0
86,W2024,1,high,7,7,2,138.0,456.0,138.0,551.0,419.0,324.0,695.0,801.0
86,W2024,1,high,8,7,7,386.0,677.0,726.0,448.0,468.0,810.0,439.0,386.0
86,W2024,1,high,9,7,7,173.0,636.0,515.0,330.0,497.0,559.0,669.0,173.0
86,W2024,1,high,10,7,2,295.0,433.0,295.0,657.0,454.0,686.0,810.0,842.0
86,W2024,1,high,11,7,7,328.0,536.0,388.0,321.0,491.0,926.0,577.0,328.0
86,W2024,1,high,12,7,2,266.0,477.0,266.0,682.0,469.0,445.0,1.0,237.0
86,W2024,1,high,13,7,5,310.0,518.0,702.0,674.0,422.0,310.0,424.0,520.0
86,W2024,1,high,14,7,5,186.0,518.0,419.0,999.0,631.0,186.0,346.0,283.0
86,W2024,1,high,15,7,1,231.0,231.0,464.0,833.0,416.0,496.0,560.0,535.0
86,W2024,1,high,16,7,7,372.0,689.0,413.0,546.0,498.0,457.0,543.0,372.0
86,W2024,1,high,17,7,5,340.0,575.0,448.0,613.0,432.0,340.0,749.0,685.0
86,W2024,1,high,18,7,4,166.0,489.0,691.0,353.0,166.0,528.0,706.0,138.0
86,W2024,1,high,19,7,4,294.0,372.0,968.0,841.0,294.0,393.0,694.0,148.0
86,W2024,1,high,20,7,6,283.0,766.0,557.0,427.0,408.0,551.0,283.0,381.0
282,W2024,1,high,1,7,1,298.0,298.0,538.0,589.0,120.0,487.0,360.0,196.0
282,W2024,1,high,2,7,7,185.0,471.0,674.0,586.0,652.0,673.0,728.0,185.0
282,W2024,1,high,3,7,3,184.0,746.0,677.0,184.0,821.0,735.0,299.0,543.0
282,W2024,1,high,4,7,1,90.0,90.0,490.0,619.0,999.0,574.0,858.0,433.0
282,W2024,1,high,5,7,3,381.0,645.0,719.0,381.0,315.0,737.0,282.0,509.0
282,W2024,1,high,6,7,6,329.0,541.0,637.0,382.0,506.0,427.0,329.0,697.0
282,W2024,1,high,7,7,2,138.0,456.0,138.0,551.0,419.0,324.0,695.0,801.0
282,W2024,1,high,8,7,6,439.0,677.0,726.0,448.0,468.0,810.0,439.0,386.0
282,W2024,1,high,9,7,3,330.0,636.0,515.0,330.0,497.0,559.0,669.0,173.0
282,W2024,1,high,10,7,7,842.0,433.0,295.0,657.0,454.0,686.0,810.0,842.0
282,W2024,1,high,11,7,7,328.0,536.0,388.0,321.0,491.0,926.0,577.0,328.0
282,W2024,1,high,12,7,2,266.0,477.0,266.0,682.0,469.0,445.0,1.0,237.0
282,W2024,1,high,13,7,4,422.0,518.0,702.0,674.0,422.0,310.0,424.0,520.0
282,W2024,1,high,14,7,2,419.0,518.0,419.0,999.0,631.0,186.0,346.0,283.0
282,W2024,1,high,15,7,1,231.0,231.0,464.0,833.0,416.0,496.0,560.0,535.0
282,W2024,1,high,16,7,7,372.0,689.0,413.0,546.0,498.0,457.0,543.0,372.0
282,W2024,1,high,17,7,7,685.0,575.0,448.0,613.0,432.0,340.0,749.0,685.0
282,W2024,1,high,18,7,3,353.0,489.0,691.0,353.0,166.0,528.0,706.0,138.0
282,W2024,1,high,19,7,4,294.0,372.0,968.0,841.0,294.0,393.0,694.0,148.0
282,W2024,1,high,20,7,3,427.0,766.0,557.0,427.0,408.0,551.0,283.0,381.0
76,W2024,1,high,1,7,1,298.0,298.0,538.0,589.0,120.0,487.0,360.0,196.0
76,W2024,1,high,2,7,7,185.0,471.0,674.0,586.0,652.0,673.0,728.0,185.0
76,W2024,1,high,3,7,3,184.0,746.0,677.0,184.0,821.0,735.0,299.0,543.0
76,W2024,1,high,4,7,1,90.0,90.0,490.0,619.0,999.0,574.0,858.0,433.0
76,W2024,1,high,5,7,4,315.0,645.0,719.0,381.0,315.0,737.0,282.0,509.0
76,W2024,1,high,6,7,6,329.0,541.0,637.0,382.0,506.0,427.0,329.0,697.0
76,W2024,1,high,7,7,2,138.0,456.0,138.0,551.0,419.0,324.0,695.0,801.0
76,W2024,1,high,8,7,6,439.0,677.0,726.0,448.0,468.0,810.0,439.0,386.0
76,W2024,1,high,9,7,3,330.0,636.0,515.0,330.0,497.0,559.0,669.0,173.0
76,W2024,1,high,10,7,2,295.0,433.0,295.0,657.0,454.0,686.0,810.0,842.0
76,W2024,1,high,11,7,2,388.0,536.0,388.0,321.0,491.0,926.0,577.0,328.0
76,W2024,1,high,12,7,2,266.0,477.0,266.0,682.0,469.0,445.0,1.0,237.0
76,W2024,1,high,13,7,5,310.0,518.0,702.0,674.0,422.0,310.0,424.0,520.0
76,W2024,1,high,14,7,5,186.0,518.0,419.0,999.0,631.0,186.0,346.0,283.0
76,W2024,1,high,15,7,1,231.0,231.0,464.0,833.0,416.0,496.0,560.0,535.0
76,W2024,1,high,16,7,7,372.0,689.0,413.0,546.0,498.0,457.0,543.0,372.0
76,W2024,1,high,17,7,7,685.0,575.0,448.0,613.0,432.0,340.0,749.0,685.0
76,W2024,1,high,18,7,4,166.0,489.0,691.0,353.0,166.0,528.0,706.0,138.0
76,W2024,1,high,19,7,4,294.0,372.0,968.0,841.0,294.0,393.0,694.0,148.0
76,W2024,1,high,20,7,6,283.0,766.0,557.0,427.0,408.0,551.0,283.0,381.0
256,W2024,1,high,1,7,4,120.0,298.0,538.0,589.0,120.0,487.0,360.0,196.0
256,W2024,1,high,2,7,7,185.0,471.0,674.0,586.0,652.0,673.0,728.0,185.0
256,W2024,1,high,3,7,3,184.0,746.0,677.0,184.0,821.0,735.0,299.0,543.0
256,W2024,1,high,4,7,1,90.0,90.0,490.0,619.0,999.0,574.0,858.0,433.0
256,W2024,1,high,5,7,3,381.0,645.0,719.0,381.0,315.0,737.0,282.0,509.0
256,W2024,1,high,6,7,6,329.0,541.0,637.0,382.0,506.0,427.0,329.0,697.0
256,W2024,1,high,7,7,2,138.0,456.0,138.0,551.0,419.0,324.0,695.0,801.0
256,W2024,1,high,8,7,6,439.0,677.0,726.0,448.0,468.0,810.0,439.0,386.0
256,W2024,1,high,9,7,7,173.0,636.0,515.0,330.0,497.0,559.0,669.0,173.0
256,W2024,1,high,10,7,7,842.0,433.0,295.0,657.0,454.0,686.0,810.0,842.0
256,W2024,1,high,11,7,7,328.0,536.0,388.0,321.0,491.0,926.0,577.0,328.0
256,W2024,1,high,12,7,6,1.0,477.0,266.0,682.0,469.0,445.0,1.0,237.0
256,W2024,1,high,13,7,5,310.0,518.0,702.0,674.0,422.0,310.0,424.0,520.0
256,W2024,1,high,14,7,7,283.0,518.0,419.0,999.0,631.0,186.0,346.0,283.0
256,W2024,1,high,15,7,7,535.0,231.0,464.0,833.0,416.0,496.0,560.0,535.0
256,W2024,1,high,16,7,7,372.0,689.0,413.0,546.0,498.0,457.0,543.0,372.0
256,W2024,1,high,17,7,5,340.0,575.0,448.0,613.0,432.0,340.0,749.0,685.0
256,W2024,1,high,18,7,4,166.0,489.0,691.0,353.0,166.0,528.0,706.0,138.0
256,W2024,1,high,19,7,4,294.0,372.0,968.0,841.0,294.0,393.0,694.0,148.0
256,W2024,1,high,20,7,6,283.0,766.0,557.0,427.0,408.0,551.0,283.0,381.0
264,W2024,1,high,1,7,1,298.0,298.0,538.0,589.0,120.0,487.0,360.0,196.0
264,W2024,1,high,2,7,7,185.0,471.0,674.0,586.0,652.0,673.0,728.0,185.0
264,W2024,1,high,3,7,3,184.0,746.0,677.0,184.0,821.0,735.0,299.0,543.0
264,W2024,1,high,4,7,1,90.0,90.0,490.0,619.0,999.0,574.0,858.0,433.0
264,W2024,1,high,5,7,3,381.0,645.0,719.0,381.0,315.0,737.0,282.0,509.0
264,W2024,1,high,6,7,3,382.0,541.0,637.0,382.0,506.0,427.0,329.0,697.0
264,W2024,1,high,7,7,2,138.0,456.0,138.0,551.0,419.0,324.0,695.0,801.0
264,W2024,1,high,8,7,6,439.0,677.0,726.0,448.0,468.0,810.0,439.0,386.0
264,W2024,1,high,9,7,7,173.0,636.0,515.0,330.0,497.0,559.0,669.0,173.0
264,W2024,1,high,10,7,2,295.0,433.0,295.0,657.0,454.0,686.0,810.0,842.0
264,W2024,1,high,11,7,7,328.0,536.0,388.0,321.0,491.0,926.0,577.0,328.0
264,W2024,1,high,12,7,2,266.0,477.0,266.0,682.0,469.0,445.0,1.0,237.0
264,W2024,1,high,13,7,5,310.0,518.0,702.0,674.0,422.0,310.0,424.0,520.0
264,W2024,1,high,14,7,5,186.0,518.0,419.0,999.0,631.0,186.0,346.0,283.0
264,W2024,1,high,15,7,7,535.0,231.0,464.0,833.0,416.0,496.0,560.0,535.0
264,W2024,1,high,16,7,7,372.0,689.0,413.0,546.0,498.0,457.0,543.0,372.0
264,W2024,1,high,17,7,5,340.0,575.0,448.0,613.0,432.0,340.0,749.0,685.0
264,W2024,1,high,18,7,1,489.0,489.0,691.0,353.0,166.0,528.0,706.0,138.0
264,W2024,1,high,19,7,1,372.0,372.0,968.0,841.0,294.0,393.0,694.0,148.0
264,W2024,1,high,20,7,6,283.0,766.0,557.0,427.0,408.0,551.0,283.0,381.0
314,W2024,1,high,1,7,1,298.0,298.0,538.0,589.0,120.0,487.0,360.0,196.0
314,W2024,1,high,2,7,7,185.0,471.0,674.0,586.0,652.0,673.0,728.0,185.0
314,W2024,1,high,3,7,3,184.0,746.0,677.0,184.0,821.0,735.0,299.0,543.0
314,W2024,1,high,4,7,1,90.0,90.0,490.0,619.0,999.0,574.0,858.0,433.0
314,W2024,1,high,5,7,6,282.0,645.0,719.0,381.0,315.0,737.0,282.0,509.0
314,W2024,1,high,6,7,3,382.0,541.0,637.0,382.0,506.0,427.0,329.0,697.0
314,W2024,1,high,7,7,2,138.0,456.0,138.0,551.0,419.0,324.0,695.0,801.0
314,W2024,1,high,8,7,7,386.0,677.0,726.0,448.0,468.0,810.0,439.0,386.0
314,W2024,1,high,9,7,3,330.0,636.0,515.0,330.0,497.0,559.0,669.0,173.0
314,W2024,1,high,10,7,2,295.0,433.0,295.0,657.0,454.0,686.0,810.0,842.0
314,W2024,1,high,11,7,3,321.0,536.0,388.0,321.0,491.0,926.0,577.0,328.0
314,W2024,1,high,12,7,2,266.0,477.0,266.0,682.0,469.0,445.0,1.0,237.0
314,W2024,1,high,13,7,5,310.0,518.0,702.0,674.0,422.0,310.0,424.0,520.0
314,W2024,1,high,14,7,5,186.0,518.0,419.0,999.0,631.0,186.0,346.0,283.0
314,W2024,1,high,15,7,1,231.0,231.0,464.0,833.0,416.0,496.0,560.0,535.0
314,W2024,1,high,16,7,7,372.0,689.0,413.0,546.0,498.0,457.0,543.0,372.0
314,W2024,1,high,17,7,5,340.0,575.0,448.0,613.0,432.0,340.0,749.0,685.0
314,W2024,1,high,18,7,4,166.0,489.0,691.0,353.0,166.0,528.0,706.0,138.0
314,W2024,1,high,19,7,4,294.0,372.0,968.0,841.0,294.0,393.0,694.0,148.0
314,W2024,1,high,20,7,6,283.0,766.0,557.0,427.0,408.0,551.0,283.0,381.0
360,W2024,1,high,1,7,1,298.0,298.0,538.0,589.0,120.0,487.0,360.0,196.0
360,W2024,1,high,2,7,7,185.0,471.0,674.0,586.0,652.0,673.0,728.0,185.0
360,W2024,1,high,3,7,3,184.0,746.0,677.0,184.0,821.0,735.0,299.0,543.0
360,W2024,1,high,4,7,1,90.0,90.0,490.0,619.0,999.0,574.0,858.0,433.0
360,W2024,1,high,5,7,3,381.0,645.0,719.0,381.0,315.0,737.0,282.0,509.0
360,W2024,1,high,6,7,6,329.0,541.0,637.0,382.0,506.0,427.0,329.0,697.0
360,W2024,1,high,7,7,2,138.0,456.0,138.0,551.0,419.0,324.0,695.0,801.0
360,W2024,1,high,8,7,6,439.0,677.0,726.0,448.0,468.0,810.0,439.0,386.0
360,W2024,1,high,9,7,3,330.0,636.0,515.0,330.0,497.0,559.0,669.0,173.0
360,W2024,1,high,10,7,2,295.0,433.0,295.0,657.0,454.0,686.0,810.0,842.0
360,W2024,1,high,11,7,3,321.0,536.0,388.0,321.0,491.0,926.0,577.0,328.0
360,W2024,1,high,12,7,2,266.0,477.0,266.0,682.0,469.0,445.0,1.0,237.0
360,W2024,1,high,13,7,5,310.0,518.0,702.0,674.0,422.0,310.0,424.0,520.0
360,W2024,1,high,14,7,5,186.0,518.0,419.0,999.0,631.0,186.0,346.0,283.0
360,W2024,1,high,15,7,1,231.0,231.0,464.0,833.0,416.0,496.0,560.0,535.0
360,W2024,1,high,16,7,7,372.0,689.0,413.0,546.0,498.0,457.0,543.0,372.0
360,W2024,1,high,17,7,5,340.0,575.0,448.0,613.0,432.0,340.0,749.0,685.0
360,W2024,1,high,18,7,3,353.0,489.0,691.0,353.0,166.0,528.0,706.0,138.0
360,W2024,1,high,19,7,4,294.0,372.0,968.0,841.0,294.0,393.0,694.0,148.0
360,W2024,1,high,20,7,6,283.0,766.0,557.0,427.0,408.0,551.0,283.0,381.0
478,W2024,1,high,1,7,1,298.0,298.0,538.0,589.0,120.0,487.0,360.0,196.0
478,W2024,1,high,2,7,7,185.0,471.0,674.0,586.0,652.0,673.0,728.0,185.0
478,W2024,1,high,3,7,3,184.0,746.0,677.0,184.0,821.0,735.0,299.0,543.0
478,W2024,1,high,4,7,1,90.0,90.0,490.0,619.0,999.0,574.0,858.0,433.0
478,W2024,1,high,5,7,3,381.0,645.0,719.0,381.0,315.0,737.0,282.0,509.0
478,W2024,1,high,6,7,3,382.0,541.0,637.0,382.0,506.0,427.0,329.0,697.0
478,W2024,1,high,7,7,2,138.0,456.0,138.0,551.0,419.0,324.0,695.0,801.0
478,W2024,1,high,8,7,7,386.0,677.0,726.0,448.0,468.0,810.0,439.0,386.0
478,W2024,1,high,9,7,3,330.0,636.0,515.0,330.0,497.0,559.0,669.0,173.0
478,W2024,1,high,10,7,2,295.0,433.0,295.0,657.0,454.0,686.0,810.0,842.0
478,W2024,1,high,11,7,7,328.0,536.0,388.0,321.0,491.0,926.0,577.0,328.0
478,W2024,1,high,12,7,2,266.0,477.0,266.0,682.0,469.0,445.0,1.0,237.0
478,W2024,1,high,13,7,5,310.0,518.0,702.0,674.0,422.0,310.0,424.0,520.0
478,W2024,1,high,14,7,5,186.0,518.0,419.0,999.0,631.0,186.0,346.0,283.0
478,W2024,1,high,15,7,1,231.0,231.0,464.0,833.0,416.0,496.0,560.0,535.0
478,W2024,1,high,16,7,7,372.0,689.0,413.0,546.0,498.0,457.0,543.0,372.0
478,W2024,1,high,17,7,5,340.0,575.0,448.0,613.0,432.0,340.0,749.0,685.0
478,W2024,1,high,18,7,4,166.0,489.0,691.0,353.0,166.0,528.0,706.0,138.0
478,W2024,1,high,19,7,1,372.0,372.0,968.0,841.0,294.0,393.0,694.0,148.0
478,W2024,1,high,20,7,6,283.0,766.0,557.0,427.0,408.0,551.0,283.0,381.0
152,W2024,1,high,1,7,1,298.0,298.0,538.0,589.0,120.0,487.0,360.0,196.0
152,W2024,1,high,2,7,7,185.0,471.0,674.0,586.0,652.0,673.0,728.0,185.0
152,W2024,1,high,3,7,3,184.0,746.0,677.0,184.0,821.0,735.0,299.0,543.0
152,W2024,1,high,4,7,1,90.0,90.0,490.0,619.0,999.0,574.0,858.0,433.0
152,W2024,1,high,5,7,3,381.0,645.0,719.0,381.0,315.0,737.0,282.0,509.0
152,W2024,1,high,6,7,6,329.0,541.0,637.0,382.0,506.0,427.0,329.0,697.0
152,W2024,1,high,7,7,2,138.0,456.0,138.0,551.0,419.0,324.0,695.0,801.0
152,W2024,1,high,8,7,7,386.0,677.0,726.0,448.0,468.0,810.0,439.0,386.0
152,W2024,1,high,9,7,7,173.0,636.0,515.0,330.0,497.0,559.0,669.0,173.0
152,W2024,1,high,10,7,2,295.0,433.0,295.0,657.0,454.0,686.0,810.0,842.0
152,W2024,1,high,11,7,7,328.0,536.0,388.0,321.0,491.0,926.0,577.0,328.0
152,W2024,1,high,12,7,6,1.0,477.0,266.0,682.0,469.0,445.0,1.0,237.0
152,W2024,1,high,13,7,5,310.0,518.0,702.0,674.0,422.0,310.0,424.0,520.0
152,W2024,1,high,14,7,5,186.0,518.0,419.0,999.0,631.0,186.0,346.0,283.0
152,W2024,1,high,15,7,7,535.0,231.0,464.0,833.0,416.0,496.0,560.0,535.0
152,W2024,1,high,16,7,7,372.0,689.0,413.0,546.0,498.0,457.0,543.0,372.0
152,W2024,1,high,17,7,5,340.0,575.0,448.0,613.0,432.0,340.0,749.0,685.0
152,W2024,1,high,18,7,4,166.0,489.0,691.0,353.0,166.0,528.0,706.0,138.0
152,W2024,1,high,19,7,1,372.0,372.0,968.0,841.0,294.0,393.0,694.0,148.0
